"Timestamp","interaction source","interaction type","research need","successful interaction?","outcome","Number of people (if more than 1)","affiliation","Institutional affiliation if not UCB","Number of films/documents/items provided","interaction staff time","Date if not today"
"2/20/2020 12:46:20","email","Cinefiles/PDF Requests"," Doc ID: 5278",,,,,,,"less than 5 min","2/16/2020"
"2/20/2020 12:48:57","email","Cinefiles/PDF Requests"," Doc ID: 23469;  Doc ID: 23423;  Doc ID: 23473;  Doc ID: 34310;  Doc ID: 34311;  Doc ID: 34318;  Doc ID: 34319;  Doc ID: 40620",,,,,,8,"5-10 min","2/17/2020"
"2/20/2020 12:49:24","email","Cinefiles/PDF Requests"," Doc ID: 55513",,,,,,,"less than 5 min","2/17/2020"
"2/20/2020 12:49:56","email","Cinefiles/PDF Requests"," Doc ID: 26194",,,,,,,"less than 5 min","2/18/2020"
"2/20/2020 12:50:16","email","Cinefiles/PDF Requests"," Doc ID: 52763",,,,,,,"less than 5 min","2/13/2020"
"2/20/2020 12:50:33","email","Cinefiles/PDF Requests"," Doc ID: 20729",,,,,"usc",,"less than 5 min",
"2/20/2020 12:50:53","email","Cinefiles/PDF Requests"," Doc ID: 49342",,,,,,,"less than 5 min","2/13/2020"
"2/20/2020 12:51:53","email","Archival papers","fellini documents for a gala slideshow",,,,"BAMPFA staff","susan oxtoby",,"5-10 min","2/14/2020"
"2/20/2020 12:54:34","walk in","Screening","tvtv",,,,"BAMPFA staff",,,"10-30 min",
"2/20/2020 13:29:49","email","Reference research","Films of Allen Willis, African American Bay Area experimental filmmaker of the 50s/60s",,,,"Writer/Independent Scholar",,,"10-30 min",
"2/20/2020 13:30:38","email","Reference research","PFA Film screenings 1973-78 and overlap with Theresa Cha",,,,"Writer/Independent Scholar","Author involved with Vancouver Cinematheque",,"over 30 min",
"2/20/2020 13:45:33","walk in","Reference research","Queer cinema of the 70s/80s",,,,"UCB student",,,"10-30 min",
"2/20/2020 13:46:07","walk in","Plex","Curious about what is accessible in collection; viewed Chris Marker and other essay films",,,,,,5,"10-30 min",
"2/20/2020 14:00:58","walk in","Books/periodicals","Books on film theory - general",,,,"UCB student",,3,"10-30 min",
"2/20/2020 16:56:28","phone call","Screening reservation request","shanghai films",,"might ask class to come in to view something from the colleciton",,"UCB Faculty",,,"10-30 min",
"2/21/2020 13:15:27","walk in","Plex","Renoir's The River",,,,"Non-UCB student",,,"10-30 min",
"2/21/2020 13:16:33","email","Screening reservation request","Shanghai-set films",,,,"UCB class",,,"over 30 min",
"2/21/2020 14:02:37","email","Cinefiles/PDF Requests"," Doc ID: 20729",,,,,,,"less than 5 min",
"2/21/2020 14:05:40","email","Screening reservation request","shanghai films",,"reserved t2 for 3 class screenings w-th-fri",,"UCB Faculty",,,"5-10 min",
"2/21/2020 16:26:03","walk in","Curious/browsing","Animation cells, Disney books",,,2,"UCB student",,,"10-30 min",
"2/21/2020 16:26:33","walk in","Curious/browsing","Books on Korean and North Korean film",,,2,"UCB student",,,"10-30 min",
"2/24/2020 7:28:40","email","Screening reservation request","theresa cha videos and papers",,"told her how to reserve a screening time",,"Non-UCB student","yale",,"less than 5 min",
"2/25/2020 17:10:27","email","Screening reservation request","cancel screening",,,,"BAMPFA staff",,,"less than 5 min",
"2/25/2020 17:11:10","email","Screening reservation request","cancel screening",,"made other arrangements for class",,"UCB Faculty",,,"5-10 min","2/24/2020"
"2/26/2020 10:48:07","email","other","interested in setting up a dvd ripping station at stanford library",,"referred her to gisele and talked about fair use",,"Non-UCB academic","stanford libraries",,"5-10 min",
"2/26/2020 10:49:39","email","other","bavc wants to collaborate on an event later this year",,"wrote a letter of support for their mellon application",,"Company / Archive / Museum / Etc","bavc",,"over 30 min","2/21/2020"
"2/26/2020 14:25:29","email","Screening reservation request","late for screening; theresa cha",,"might postpone it",,"UCB student",,,"less than 5 min",
"2/26/2020 14:41:35","email","Cinefiles/PDF Requests"," Doc ID: 57268",,,,,,,"less than 5 min","2/25/2020"
"2/26/2020 14:41:59","email","Cinefiles/PDF Requests"," Doc ID: 15852",,,,,,,"less than 5 min","2/25/2020"
"2/26/2020 14:42:29","email","Cinefiles/PDF Requests"," Doc ID: 53446",,,,,,,"less than 5 min","2/22/2020"
"2/26/2020 14:43:07","email","Cinefiles/PDF Requests"," Doc ID: 53446",,,,"Non-UCB student","york university uk",,"less than 5 min","2/25/2020"
"2/26/2020 14:44:15","email","Cinefiles/PDF Requests"," Doc ID: 55996",,,,"Non-UCB student","bristol university uk",,"less than 5 min","2/24/2020"
"2/26/2020 14:44:35","email","Cinefiles/PDF Requests"," Doc ID: 47176",,,,,,,"less than 5 min","2/24/2020"
"2/26/2020 14:44:55","email","Cinefiles/PDF Requests"," Doc ID: 56967",,,,,,,"less than 5 min","2/24/2020"
"2/26/2020 14:45:40","email","Cinefiles/PDF Requests"," Doc ID: 38464;  Doc ID: 45394",,,,"Non-UCB student","bristol university uk",2,"5-10 min","2/24/2020"
"2/26/2020 14:46:31","email","Cinefiles/PDF Requests"," Doc ID: 53446;  Doc ID: 56498",,,,,,2,"5-10 min","2/24/2020"
"2/26/2020 14:46:52","email","Cinefiles/PDF Requests"," Doc ID: 26606",,,,,,,"less than 5 min","2/24/2020"
"2/26/2020 14:47:27","email","Cinefiles/PDF Requests"," Doc ID: 52131",,,,"Company / Archive / Museum / Etc","city of san diego",,"less than 5 min","2/24/2020"
"2/26/2020 14:49:04","email","Cinefiles/PDF Requests"," Doc ID: 52131",,,,"Non-UCB student","palomar community college san diego",,"less than 5 min","2/23/2020"
"2/26/2020 14:50:15","email","Cinefiles/PDF Requests"," Doc ID: 53886",,,,,"italy",,"less than 5 min","2/22/2020"
"2/26/2020 14:50:44","email","Cinefiles/PDF Requests"," Doc ID: 58569",,,,"Non-UCB academic","bristol university uk",,"less than 5 min","2/22/2020"
"2/26/2020 14:51:52","email","Cinefiles/PDF Requests"," Doc ID: 52619",,,,"Non-UCB academic","park school k-12 baltimore",,"less than 5 min","2/22/2020"
"2/28/2020 11:02:30","email","Duplication","wants images from bam installations for auction catalog",,"referred her to tracy",,"Company / Archive / Museum / Etc","sotheby's",,"5-10 min",
"2/28/2020 11:41:53","walk in","Archival papers","artkino collection",,,,"Company / Archive / Museum / Etc","dovzhenko film center ukraine",,"5-10 min","2/27/2020"
"2/28/2020 11:42:25","walk in","Books/periodicals","mexican film",,,,"Writer/Independent Scholar",,,"5-10 min","2/27/2020"
"2/28/2020 11:43:39","walk in","Screening","theresa cha",,"browsed cha works on plex",,"UCB student",,,"10-30 min","2/26/2020"
"2/28/2020 15:07:28","email","Cinefiles/PDF Requests"," Doc ID: 53894",,,,,,,"less than 5 min",
"2/28/2020 15:08:46","email","Cinefiles/PDF Requests"," Doc ID: 24723;  Doc ID: 24724;  Doc ID: 24733;  Doc ID: 32308",,,,,,4,"5-10 min",
"2/28/2020 15:37:01","walk in","Curious/browsing","biographies, plex",,,,"Local Resident",,,"5-10 min",
"2/28/2020 15:47:08","walk in","Books/periodicals","Classic Hollywood fan magazines (Photoplay, etc)",,,,"Local Resident",,,"10-30 min",
"2/28/2020 15:48:15","walk in","Reference research","Silent film scores",,,,"Filmmaker/Artist","Musicians of Red Cedar Chamber Music (Iowa) researching scores for The Brinton Film Collection, a private collection of silent shorts based in Iowa City",,"over 30 min",
"2/28/2020 15:48:50","walk in","Screening","Star Wars ",,,6,"Local Resident","Crocker Highlands Elementary (Oakland) field trip",,"over 30 min",
"2/28/2020 15:49:26","walk in","Plex","Theresa Cha",,,,"UCB Faculty",,,"10-30 min",
"2/28/2020 16:40:55","email","Cinefiles/PDF Requests"," Doc ID: 42795",,,,,,,"less than 5 min",
"2/28/2020 17:03:45","walk in","Plex","Solaris & Tarkovsky",,,,"UCB student",,3,"5-10 min",
"2/28/2020 17:04:12","walk in","Plex","Ingmar Bergman films",,,,"Local Resident",,3,"10-30 min",
"3/2/2020 7:40:04","email","Donation","wants to donate some of her papers",,"said yes",,"Filmmaker/Artist",,,"5-10 min",
"3/2/2020 10:37:18","email","Screening reservation request","theresa cha",,,,"Non-UCB student","california college of the arts",,"less than 5 min",
"3/2/2020 10:38:22","email","Screening reservation request","theresa cha videos",,,,"Writer/Independent Scholar",,,"less than 5 min",
"3/2/2020 12:19:30","email","Cinefiles/PDF Requests"," Doc ID: 55510",,,,,,,"less than 5 min",
"3/2/2020 12:21:02","email","Cinefiles/PDF Requests"," Doc ID: 18524; Doc ID: 56425;  Doc ID: 18506;  Doc ID: 50125;  Doc ID: 50126;  Doc ID: 50057",,,,"Non-UCB academic","york university uk",,"5-10 min",
"3/2/2020 16:27:57","email","Screening reservation request","theresa cha videos",,"trying to confirm viewing booked for a tuesday",,"Non-UCB student",,,"5-10 min",
"3/3/2020 7:08:57","email","Screening reservation request","theresa cha material",,"confirmed screening date",,"Non-UCB academic","rutgers university",,"less than 5 min",
"3/4/2020 14:56:31","email","Screening reservation request","asking stephanie cannizzo and jon about theresa cha video",,"jon confirmed reveille dans la brume is poor quality video",,"Non-UCB academic","rutgers",,"10-30 min",
"3/4/2020 14:56:50","walk in","Plex","silent films",,,,,,,"5-10 min",
"3/4/2020 16:59:25","walk in","Plex","Animation",,,,"Non-UCB academic",,3,"10-30 min",
"3/4/2020 17:01:14","walk in","Screening","Theresa Cha",,,,"Non-UCB academic","SAIC Chicago",7,"10-30 min",
"3/4/2020 17:01:46","walk in","Plex","Autobiography of N Ceaucescu",,,,"UCB Faculty",,,"10-30 min",
"3/5/2020 11:59:45","walk in","Archival papers","distributor catalogs; research for subjects for further research",,,,"Filmmaker/Artist",,,"10-30 min","3/3/2020"
"3/5/2020 12:00:41","email","other","wants distributor contact for SPACE IS THE PLACE",,"looked in pfa current, found distributor contact",,"Company / Archive / Museum / Etc","oakland museum of california",,"5-10 min","3/4/2020"
"3/5/2020 15:22:06","walk in","Curious/browsing",,,,,"Out-of-area visitors",,,"less than 5 min",
"3/5/2020 15:28:53","walk in","Study/computer use",,,,,"UCB student",,,"less than 5 min",
"3/6/2020 13:35:34","email","Cinefiles/PDF Requests"," Doc ID: 42677",,,,,,,"less than 5 min",
"3/6/2020 13:39:40","email","Cinefiles/PDF Requests"," Doc ID: 26838;  Doc ID: 26842;  Doc ID: 26843;  Doc ID: 26846;  Doc ID: 26848;  Doc ID: 26850;  Doc ID: 26852;  Doc ID: 26853;  Doc ID: 26854;  Doc ID: 26856;  Doc ID: 26857;  Doc ID: 26858;  Doc ID: 26859;  Doc ID: 26860;  Doc ID: 26861;  Doc ID: 26862;  Doc ID: 26864;  Doc ID: 26866;  Doc ID: 26867;  Doc ID: 26869 Doc ID: 26870;  Doc ID: 26872",,,,"Company / Archive / Museum / Etc","arrow films uk",22,"10-30 min",
"3/6/2020 13:39:57","email","Cinefiles/PDF Requests"," Doc ID: 53493",,,,,,,"less than 5 min",
"3/6/2020 15:32:59","walk in","Curious/browsing","Plex, animation, Star Wars, random",,,13,"Non-UCB academic","Random group of scholars in town for non-film-related conference",,"over 30 min",
"3/6/2020 15:33:36","walk in","Curious/browsing","Disney animation",,,,"Non-UCB student",,,"over 30 min",
"3/6/2020 15:34:07","walk in","Curious/browsing","""What is this place"" - curious about screening spaces",,,,"Local Resident",,,"10-30 min",
"3/6/2020 15:34:49","walk in","Screening","35mm Chinese PRC docs",,,,"Non-UCB academic","Univ. of North Carolina",3,"over 30 min",
"3/9/2020 12:32:40","email","Cinefiles/PDF Requests"," Doc ID: 52250;  Doc ID: 44267;  Doc ID: 29082;  Doc ID: 53000;  Doc ID: 20248;  Doc ID: 53023;  Doc ID: 43466;  Doc ID: 52574; ",,,,,,8,"10-30 min",
"3/9/2020 12:33:02","email","Cinefiles/PDF Requests"," Doc ID: 31563",,,,,,,"less than 5 min",
"3/9/2020 12:33:34","email","Cinefiles/PDF Requests"," Doc ID: 26843",,,,,,,"less than 5 min","3/8/2020"
"3/9/2020 12:35:10","email","Cinefiles/PDF Requests"," Doc ID: 15036; Doc ID: 56119;  Doc ID: 14490;  Doc ID: 14495;  Doc ID: 15036;  Doc ID: 15027",,,,,,6,"10-30 min","3/8/2020"
"3/9/2020 12:35:40","email","Cinefiles/PDF Requests"," Doc ID: 994",,,,,,,"less than 5 min","3/7/2020"
"3/9/2020 12:35:56","email","Cinefiles/PDF Requests"," Doc ID: 34936",,,,,,,"less than 5 min","3/7/2020"
"3/9/2020 12:36:56","email","Donation","wants to donate the papers/clippings of Alex Keneas",,"will ship one banker's box",,"Writer/Independent Scholar",,,"10-30 min","3/8/2020"
"3/9/2020 12:38:21","email","other","piction instructions",,"gaver her instructions",,"BAMPFA staff",,,"5-10 min","3/6/2020"
"3/9/2020 12:39:50","email","other","wants to volunteer",,"asked her to schedule an appointment to see what we can offer",,,,,"5-10 min","3/7/2020"
"3/9/2020 14:45:37","email","Duplication","wants to reproduce image from cinefiles in a book",,"told him he can have high resolution images if he signs indemnification form",,"Writer/Independent Scholar",,,"10-30 min","3/5/2020"
"3/9/2020 14:46:49","email","Screening reservation request","Cancellation of screening",,,,"UCB Faculty",,,"less than 5 min",
"3/11/2020 12:39:06","email","Cinefiles/PDF Requests"," Doc ID: 48855",,,,,"york univiersity uk",,"less than 5 min",
"3/11/2020 12:39:21","email","Cinefiles/PDF Requests"," Doc ID: 26389",,,,,,,"less than 5 min",
"3/11/2020 12:39:40","email","Cinefiles/PDF Requests"," Doc ID: 1794",,,,,,,"less than 5 min",
"3/11/2020 12:40:04","email","Cinefiles/PDF Requests"," Doc ID: 52955",,,,,,,"less than 5 min",
"3/11/2020 12:40:22","email","Cinefiles/PDF Requests"," Doc ID: 31563",,,,,,,"less than 5 min","2/9/2020"
"3/11/2020 12:40:49","email","Cinefiles/PDF Requests"," Doc ID: 49690;  Doc ID: 49692",,,,,,,"less than 5 min","2/9/2020"
"3/12/2020 15:52:31","email","Cinefiles/PDF Requests"," Doc ID: 52272",,,,,,,"less than 5 min",
"3/12/2020 15:53:11","walk in","Curious/browsing","turkish films",,"showed oskicat; tried to show plex but it was broken",,,,,"5-10 min",
"3/12/2020 15:53:48","walk in","Archival papers","tvtv",,,,"BAMPFA staff",,,"10-30 min",
"3/13/2020 10:19:45","walk in","Screening reservation request","Children of Synanon & Synanon related footage",,,,"Writer/Independent Scholar","Working on book on Synanon",3,"10-30 min","3/11/2020"
"3/13/2020 10:21:22","email","Reference research","Information on German TV institute  ZDF and their funding of Latin American filmmakers",,,,"Non-UCB academic","UCSC",3,"over 30 min","3/12/2020"
"3/13/2020 10:22:03","email","Reference research","Other films on Synanon group",,,,"Writer/Independent Scholar","Writer working on book on Synanon ",,"over 30 min","3/12/2020"
"3/13/2020 10:22:44","email","Screening reservation request","Ukrainian films & soviet newsreels - misc",,,,"Company / Archive / Museum / Etc","Dozvhenko Film Archive, Kiev",,"over 30 min","3/12/2020"
"3/13/2020 10:23:26","email","Reference research","Information on silent film actors - various",,,,"Company / Archive / Museum / Etc","SF Silent FF",,"over 30 min","3/12/2020"
"3/13/2020 10:24:20","email","Reference research","Information on filmmaker Jonathan Scharz ",,,,"UCB Faculty","CCA",,"over 30 min","3/12/2020"
"3/13/2020 17:05:10","email","Cinefiles/PDF Requests"," Doc ID: 36891",,,,"Non-UCB academic","york university uk",,"less than 5 min",
"3/16/2020 16:10:19","email","Cinefiles/PDF Requests"," Doc ID: 56922",,,,,,,"5-10 min","3/15/2020"
"3/16/2020 16:11:09","email","Cinefiles/PDF Requests"," Doc ID: 55329;  Doc ID: 53026;  Doc ID: 29087",,,,"Non-UCB academic","york university uk",,"10-30 min","3/14/2020"
"3/16/2020 16:11:36","email","Cinefiles/PDF Requests"," Doc ID: 2887",,,,,,,"5-10 min","3/13/2020"
"3/23/2020 10:23:12","email","Cinefiles/PDF Requests"," Doc ID: 18653",,,,,,,"less than 5 min","3/22/2020"
"3/23/2020 10:25:02","email","Cinefiles/PDF Requests"," Doc ID: 17797; Doc ID: 17796;  Doc ID: 17795",,,,,,,"10-30 min","3/21/2020"
"3/23/2020 10:25:35","email","Cinefiles/PDF Requests"," Doc ID: 32598",,,,,,,"less than 5 min","3/21/2020"
"3/23/2020 10:26:04","email","Cinefiles/PDF Requests"," Doc ID: 37741",,,,,,,"less than 5 min","3/21/2020"
"3/24/2020 12:50:14","email","Duplication","wants to republish page from art in cinema collection",,"will provide hi res image, ask her to sign indemnification",,"Company / Archive / Museum / Etc","Centre de la Vieille Charité, Marseille/RMN-GP",,"5-10 min",
"3/25/2020 9:22:53","email","Duplication","research copyright for art in cinema image",,"asked nancy, it seems like the program notes might be public domain",,"Company / Archive / Museum / Etc",,,"over 30 min","3/24/2020"
"3/25/2020 15:12:50","email","Tour request","Weihong Bao - cancellation information of Chinese Cinema & Archival Classes due to campus closure ",,,,"UCB Faculty",,,"10-30 min",
"3/25/2020 18:37:16","email","Reference research","Fellini images",,,,"Non-UCB academic","Univ of Kansas - film dept",,"10-30 min",
"3/26/2020 11:11:39","email","Cinefiles/PDF Requests"," Doc ID: 32598",,,,,,,"less than 5 min",
"3/26/2020 11:12:29","email","Cinefiles/PDF Requests"," Doc ID: 42776",,,,"Writer/Independent Scholar",,,"less than 5 min","3/25/2020"
"3/26/2020 11:19:09","email","Duplication","art in cinema",,"created an online form for indemnification; researched copyright for AIC",,"Company / Archive / Museum / Etc",,,"over 30 min","3/25/2020"
"3/26/2020 11:20:46","email","Duplication","art in cinema",,"edited indemnification form for museum wanting to reproduce AIC program note",,"Company / Archive / Museum / Etc","RMNGP",,"10-30 min",
"3/26/2020 11:34:44","email","Screening reservation request","Docs on Synanon cult group",,,,"Writer/Independent Scholar","Writer working on book on Synanon cult",,"10-30 min",
"3/26/2020 13:50:41","email","Reference research","Files/books on Hayao Miyazaki",,,,"Non-UCB student","Berkeley City College",,"10-30 min",
"3/31/2020 17:01:53","email","Duplication","art in cinema",,"requester returned indemnification form",,"Company / Archive / Museum / Etc","marseille museum (?)",,"10-30 min",
"3/31/2020 17:04:04","email","Cinefiles/PDF Requests"," Doc ID: 56141",,,,,,,"less than 5 min","3/30/2020"
"3/31/2020 17:05:25","email","Cinefiles/PDF Requests"," Doc ID: 20955",,,,,,,"less than 5 min","3/29/2020"
"3/31/2020 17:05:52","email","Cinefiles/PDF Requests"," Doc ID: 54039",,,,,,,"less than 5 min","3/29/2020"
"3/31/2020 17:06:42","email","Cinefiles/PDF Requests"," Doc ID: 53374",,,,"Non-UCB academic","york univ uk",,"less than 5 min","3/27/2020"
"3/31/2020 17:07:05","email","Cinefiles/PDF Requests"," Doc ID: 33718",,,,,,,"less than 5 min","3/27/2020"
"3/31/2020 17:08:40","other","Training","piction training",,"reviewed how to move items in piction",,"BAMPFA staff",,,"10-30 min",
"3/31/2020 17:09:31","other","Training","piction training",,,,"BAMPFA staff",,,"over 30 min","3/26/2020"
"3/31/2020 17:12:48","email","Training","piction",,"clarified remote uploading details",,"BAMPFA staff",,,"5-10 min","3/30/2020"
"4/3/2020 19:45:39","email","Cinefiles/PDF Requests"," Doc ID: 22787",,,,,,,"less than 5 min",
"4/3/2020 21:05:46","email","Duplication","art in cinema",,"received signed indemnification form and sent file",,"Company / Archive / Museum / Etc","marseille museum?",,"5-10 min","4/1/2020"
"4/6/2020 16:45:09","email","Cinefiles/PDF Requests"," Doc ID: 38308",,,,,,,"5-10 min","4/3/2020"
"4/6/2020 16:45:53","email","Cinefiles/PDF Requests"," Doc ID: 56274;  Doc ID: 26480",,,,"Non-UCB academic","york university uk",2,"5-10 min","4/4/2020"
"4/9/2020 17:36:43","email","Cinefiles/PDF Requests"," Doc ID: 46849",,,,,,,"less than 5 min",
"4/9/2020 17:38:19","email","Cinefiles/PDF Requests"," Doc ID: 17526",,,,,,,"less than 5 min","4/8/2020"
"4/9/2020 17:38:45","email","Cinefiles/PDF Requests"," Doc ID: 50032",,,,,,,"less than 5 min","4/8/2020"
"4/9/2020 17:39:12","email","Cinefiles/PDF Requests"," Doc ID: 50030",,,,,,,"less than 5 min","4/8/2020"
"4/9/2020 17:40:16","email","Cinefiles/PDF Requests"," Doc ID: 23643",,,,"Non-UCB student","case western university",,"less than 5 min","4/7/2020"
"4/9/2020 17:40:45","email","Cinefiles/PDF Requests"," Doc ID: 15065",,,,,,,"less than 5 min","4/7/2020"
"4/9/2020 17:41:17","email","Cinefiles/PDF Requests"," Doc ID: 55614",,,,"Non-UCB student","university of melbourne",,"less than 5 min","4/7/2020"
"4/9/2020 18:16:21","email","Stills","warren sonbert films",,"Max was looking for stills for an article on Warren sonbert, but we don't have any",,"BAMPFA staff",,,"10-30 min",
"4/9/2020 18:17:54","email","Event","should the library participate in cal day?",,,,"BAMPFA staff",,,"10-30 min",
"4/10/2020 15:41:14","email","Archival papers","tvtv",,"clarified where to find the tvtv digitized papers",,"Writer/Independent Scholar",,,"less than 5 min",
"4/14/2020 14:47:42","email","Cinefiles/PDF Requests"," Doc ID: 14495",,,,,,,"less than 5 min",
"4/14/2020 14:49:06","email","Cinefiles/PDF Requests"," Doc ID: 43579",,,,"UCB student","canadian institute of technology",,"less than 5 min","4/11/2020"
"4/14/2020 14:49:48","email","Cinefiles/PDF Requests",,,,,"Non-UCB student","bristol university uk",,"less than 5 min","4/11/2020"
"4/14/2020 14:50:17","email","Cinefiles/PDF Requests"," Doc ID: 16856",,,,,,,"less than 5 min","4/13/2020"
"4/14/2020 14:50:48","email","Cinefiles/PDF Requests"," Doc ID: 32003",,,,,,,"less than 5 min","4/13/2020"
"4/14/2020 14:51:33","email","Cinefiles/PDF Requests"," Doc ID: 11514",,,,,,,"5-10 min",
"4/14/2020 14:52:04","email","Cinefiles/PDF Requests"," Doc ID: 2984",,,,"Non-UCB student","college of william and mary",,"less than 5 min",
"4/14/2020 15:01:14","email","Cinefiles/PDF Requests"," Doc ID: 15741",,,,,,,"less than 5 min","4/10/2020"
"4/15/2020 13:05:58","email","Cinefiles/PDF Requests"," Doc ID: 53469",,"very last pdf request ahead of website relaunch",,,,,"less than 5 min",
"4/17/2020 15:54:32","email","Stills","Bruce Baillie Stills","Yes",,,"Company / Archive / Museum / Etc","Film Comment Magazine",7,"over 30 min","4/14/2020"
"4/17/2020 15:54:59","email","Stills","Bruce Baillie Stills","Yes",,,"Company / Archive / Museum / Etc","Artforum Magazine",4,"over 30 min",
"4/17/2020 15:55:54","email","Duplication","Stock footage of Berkeley for student film",,"Recommended other sources as our vault is closed due to COVID-19",,"UCB student",,,"5-10 min",
"4/17/2020 16:19:13","email","Duplication","bruce baillie portraits",,"sent brian indemnification form for images sent by JS",,"Writer/Independent Scholar","artforum",,"10-30 min",
"4/17/2020 16:34:35","walk in","Training","cinefiles cspace",,"trained staff to use cspace for collectionspace updates",5,"BAMPFA staff",,,"over 30 min","4/16/2020"
"4/27/2020 19:04:15","email","Audio Recording","Patricio Guzman audio recording from 2011","Yes","Found in Piction, of all places",2,"BAMPFA staff",,,"over 30 min",
"5/8/2020 13:09:49","email","other","interested in learning about resourcespace",,"initial contact, will follow up",,"Company / Archive / Museum / Etc","lucas museum",,"5-10 min",
"5/8/2020 13:38:07","other","Training","wanted to demonstrate AI cataloging software",,"showed me around the system",2,"UCB student",,,"over 30 min","5/5/2020"
"5/26/2020 13:49:26","email","other","wants to learn about Piction and cspace",,"will set up a call next week",,"Company / Archive / Museum / Etc","internet archive",,"less than 5 min",
"5/26/2020 13:51:32","other","Training","demo of resourcespace",,,4,"Company / Archive / Museum / Etc","Lucas Museum (LA)",,"over 30 min","5/19/2020"
"5/26/2020 15:42:13","email","Stills","bruce baillie stills",,"jon referred seth to us for the cahiers request",,"Company / Archive / Museum / Etc","canyon cinema/ cahiers du cinema",,"5-10 min","5/15/2020"
"6/1/2020 16:52:06","email","Reference research","interested in remote research access for Black Aesthetic program",,"will be in touch with artist Darol Kae about what he's looking for",3,"Filmmaker/Artist","Black Aesthetic",,"5-10 min",
"6/9/2020 16:32:37","email","Reference research","Darol Olu Kae first outreach for Black Aesthetic program Fall 2020.",,"will set up a zoom call to go over remote research options",,"Filmmaker/Artist",,,"5-10 min",
"6/9/2020 16:40:14","phone call","other","discussing FIAF directory institutional terms",,,,"Company / Archive / Museum / Etc",,,"over 30 min","6/8/2020"
"6/15/2020 10:19:53","email","other","found a film reel and wanted to know what it was",,"gave some advice on identifying the film",,"Non-UCB academic","Castro Valley K-12 district",,"5-10 min",
"6/22/2020 14:37:05","other","Reference research","zoom call with darol olu kae re his black aesthetic program Fall 2020",,,,"Filmmaker/Artist",,,"over 30 min","6/17/2020"
"6/25/2020 11:35:53","email","Duplication","wants a hi res photo of the conrad veidt diary",,"told her we are still closed and don't have photo capability",,"UCB student",,,"5-10 min",
"6/25/2020 12:09:26","email","Duplication","follow up on photographing conrad veidt diary",,"gave her contact info for 42 line who could photograph the diary.",,"UCB student",,,"5-10 min",
"6/29/2020 11:15:06","email","Books/periodicals","interested in Release Print",,"forwarded oskciat record for bampfa holdings",,"Company / Archive / Museum / Etc","canyon cinema",,"5-10 min",
"7/6/2020 10:09:23","email","Archival papers","tvtv; wants to interview an archivist",,"will schedule a phone call later this week",,"Non-UCB student","university of toronto",,"5-10 min",
"7/10/2020 11:23:49","other","Archival papers","tvtv collection; interested in source of papers, process of archiving",,"talked in detail about the collection and its origin",,"UCB student","university of toronto",,"over 30 min",
"7/10/2020 13:59:10","email","Archival papers","conrad veidt diary; wants to set up photography at 42-line",,,,"UCB student",,,"5-10 min",
"7/11/2020 8:14:12","email","Archival papers","conrad veidt diary",,"will check next week if it's still at the library or regatta; if i can get it i will drop it off at 42-line.",2,"UCB student",,,"5-10 min",
"7/13/2020 8:33:20","email","Audio Recording","interested in permission process for CLIR recordings project",,"explained our process",,"Company / Archive / Museum / Etc","academy film archive",,"10-30 min",
"7/13/2020 8:34:15","email","Audio Recording","interested in permission process for CLIR audio project",,"explained our permission process",,"Company / Archive / Museum / Etc","indiana university cinematheque",,"5-10 min",
"7/16/2020 13:23:20","email","Tour request","wants to interview a special collections librarian",,"set up interview time",,"Non-UCB student","SJSU",,"5-10 min","7/13/2020"
"7/20/2020 14:26:50","email","Screening reservation request","theresa cha; white dust from mongolia",,"told her cha materials are on-site only",,"Non-UCB student","yale",,"less than 5 min",
"7/21/2020 14:50:08","email","Reference research","footage of timothy leary benefit concerts at berkeley 1973",,"pointed her to bancroft, nypl, internet archive",,"Filmmaker/Artist","erroll morris's researcher",,"10-30 min",
"7/23/2020 10:33:59","email","Duplication","wants to license ant farm images",,"forwarded to stephanie cannizzo and tracy",,"Company / Archive / Museum / Etc","museum of art architecture and technology, portugal",,"5-10 min",
"7/24/2020 9:06:42","email","Archival papers","dialogue lists from a selection of films: Birthright (1938) by Oscar Micheaux
Dirty Gertie from Harlem U.S.A.(1946) by Spencer Williams
The Blood of Jesus (1941) by Spencer Williams 
Ganja & Hess(1973) by Bill Gunn",,"told her we'd have to look at Regatta for them, but it's still closed",,"BAMPFA staff",,,"5-10 min",
"7/24/2020 12:31:35","email","other","faculty interested in setting up women in tech screening series",,"referred them to film curatorial and/or vimeo?",,"UCB staff",,,"5-10 min",
"7/27/2020 12:30:12","email","Reference research","Two Icarus Films docs on Native American topics",,"Located in worldcat",,"Filmmaker/Artist","Sharon Stout, filmmaker working on doc",2,"10-30 min",
"7/27/2020 12:31:46","email","Reference research","I AM CUBA information about Telluride 1992 screening",,"Located notes here, at Telluride, SFIFF",2,"Company / Archive / Museum / Etc","Milestone Films; AAMPAS",,"10-30 min",
"7/27/2020 12:34:14","email","Reference research","Use of Ant Farm work for museum exhibition research",,"Noted we need filmmaker permission to duplicate a work, especially for display in an exhibition; referred them to Film Collections and also Chip Lord",,"Company / Archive / Museum / Etc","Museum of Art, Architecture and Technology (MAAT) in Lisbon, Portugal",,"10-30 min","7/23/2020"
